Model,Type,RMSE,MAE,R²
Linear Regression,Baseline,9.885758906962703,5.614938959892547,-0.1045647725495775
Seasonal Naive,Baseline,9.96251633572313,5.6223698914010605,-0.1217840272861923
Moving Average,Baseline,10.086198388939293,7.924841485507244,-0.1498102379031904
SARIMA,Baseline,11.516567746747535,9.960301716779174,-0.4990540506858274
LSTM with Attention,Deep Learning,9.191252273067471,5.7722797,0.0457493363268821
Bidirectional LSTM,Deep Learning,6.382631409036032,3.9368532,0.539836017155843
