model,RMSE,MAE,R2
Linear Regression,9.885758906962703,5.614938959892547,-0.10456477254957752
Seasonal Naive,9.96251633572313,5.6223698914010605,-0.12178402728619231
Moving Average,10.086198388939293,7.924841485507244,-0.14981023790319048
SARIMA,11.516567746747535,9.960301716779174,-0.4990540506858274
